# Complete smart lamp lexicon

LEX: BARBU	barbu:
LEX: PJEĆAPOŁSTA	pje:tSapOUvsta
LEX: PJEĆASYDOMDŹESAT	pje:tSasYdOmdSEsat
LEX: PJEĆASYDOMDŹESAĆ	pje:tSasYdOmdSEsatS
LEX: PJEĆATŘICCI	pje:tSattsi:tstsi:
LEX: PJEĆATŘICEĆI	pje:tSattsi:tse:tSi:
LEX: PJEĆATŘICĆI	pje:tSattsi:tstSi:
LEX: PJEĆAWOSOMDŹESAT	pje:tSaUvOsOmdSEsat
LEX: PJEĆAWOSOMDŹESAĆ	pje:tSaUvOsOmdSEsatS
LEX: PJEĆAŠTYRCCI	pje:tSaStYrtstsi:
LEX: PJEĆAŠTYRCEĆI	pje:tSaStYrtse:tSi:
LEX: PJEĆAŠTYRCĆI	pje:tSaStYrtstSi:
LEX: PJEĆAŠĚSĆDŹESAT	pje:tSaSIstSdSEsat
LEX: PJEĆAŠĚSĆDŹESAĆ	pje:tSaSIstSdSEsatS
LEX: PJEĆDŹESAT	pje:tSdSEsat
LEX: PJEĆDŹESAĆ	pje:tSdSEsatS
LEX: POKAZAJ	pOkazaj
LEX: POKAŽ	pOkaS
LEX: POŁSTA	pOUvsta
LEX: PROCENTOW	prOtsEntOUv
LEX: PROŠU	prOSu:
LEX: PŘE	pSE
LEX: PŘECO	pSEtsO
LEX: PŘITULNU	pSi:tu:lnu:
LEX: RADY	radY
LEX: ROMANTIKI	rOmanti:ki:
LEX: ROMANTIKU	rOmanti:ku:
LEX: ROMANTISCE	rOmanti:stsE
LEX: SO	sO
LEX: SPAĆ	spatS
LEX: STO	stO
LEX: SWĚCA	sUvItsa
LEX: SWĚCU	sUvItsu:
LEX: SWĚTLIŠO	sUvItli:SO
LEX: SWĚTŁA	sUvItUva
LEX: SWĚTŁO	sUvItUvO
LEX: SWĚĆ	sUvItS
LEX: SYDOMDŹESAT	sYdOmdSEsat
LEX: SYDOMDŹESAĆ	sYdOmdSEsatS
LEX: SYDOM	sYdOm
LEX: SYM	sYm
LEX: SŁÓNCO	sUvUntsO
LEX: TAK	tak
LEX: TRJEBAM	trjEbam
LEX: TROŠKU	trOSku:
LEX: TŘICCI	ttsi:tstsi:
LEX: TŘICEĆI	ttsi:tse:tSi:
LEX: TŘICĆI	ttsi:tstSi:
LEX: WONKA	UvOngka
LEX: WOSOMDŹESAT	UvOsOmdSEsat
LEX: WOSOMDŹESAĆ	UvOsOmdSEsatS
LEX: WOSOM	UvOsOm
LEX: WOČI	UvOtSi:
LEX: WŠO	SO
LEX: Z	z
LEX: ZASWĚĆ	zasUvItS
LEX: ZASWĚĆIĆ	zasUvItSi:tS
LEX: ZAĆĚMNI	zatSImni:
LEX: ZAĆĚMŃ	zatSImjn
LEX: ZELENE	zElEnE
LEX: ZELENU	zElEnu:
LEX: ZYMNO	zYmnO
LEX: ZYMNU	zYmnu:
LEX: ĆIŃ	tSi:jn
LEX: ĆMA	tSma
LEX: ĆOPŁO	tSOpUvO
LEX: ĆOPŁU	tSOpUvu:
LEX: ĆĚMNIŠO	tSImni:SO
LEX: ČERWJENE	tSErUvjEnE
LEX: ČERWJENU	tSErUvjEnu:
LEX: ČIMOL	tSi:mOl
LEX: ČIN	tSi:n
LEX: ČITANJOM	tSi:tanjOm
LEX: ČITAĆ	tSi:tatS
LEX: ČMOWŠO	tSmOUvSO
LEX: ŠTYRCCI	StYrtstsi:
LEX: ŠTYRCEĆI	StYrtse:tSi:
LEX: ŠTYRCĆI	StYrtstSi:
LEX: ŠĆE	StSE
LEX: ŠĚSĆDŹESAT	SIstSdSEsat
LEX: ŠĚSĆ	SIstS
LEX: ŠĚSĆDŹESAĆ	SIstSdSEsatS


# Main entry
GRM: (S) <PAU> (S)
GRM: (F) <PAU> (F)
GRM: (S) <TURNOFF> (F)
GRM: (S) <TURNON> (F)
GRM: (S) <BRIGHTNESS> (F)
GRM: (S) <COLOR> (F)


# Intent 1 - turn lamp on/off
## Turn on
GRM: <TURNON> LUBA:LUBA <LAMP> ZASWĚĆ:ZASWĚĆ SO:SO
GRM: <TURNON> PROŠU:PROŠU LUBA:LUBA <LAMP> ZASWĚĆ:ZASWĚĆ SO:SO
GRM: <TURNON> <LAMP> ZASWĚĆ:ZASWĚĆ SO:SO NĚTKO:NĚTKO
GRM: <TURNON> <LAMP> ZASWĚĆ:ZASWĚĆ SO:SO
GRM: <TURNON> <LAMP> DŹI:DŹI ON:ON
GRM: <TURNON> PROŠU:PROŠU <LAMP> ZASWĚĆ:ZASWĚĆ SO:SO
GRM: <TURNON> PROŠU:PROŠU <LAMP> DŹI:DŹI ON:ON
GRM: <TURNON> <LAMP> TRJEBAM:TRJEBAM SWĚCU:SWĚCU
GRM: <TURNON> <LAMP> JE:JE PŘE:PŘE ĆMA:ĆMA
GRM: <TURNON> LAMPA:LAMPA ZASWĚĆIĆ:ZASWĚĆIĆ
GRM: <TURNON> SWĚCU:SWĚCU ZASWĚĆIĆ:ZASWĚĆIĆ
GRM: <TURNON> SWĚCU:SWĚCU PROŠU:PROŠU
GRM: <TURNON> ZASWĚĆ:ZASWĚĆ SWĚCU:SWĚCU
GRM: <TURNON> PROŠU:PROŠU ZASWĚĆ:ZASWĚĆ SWĚCU:SWĚCU
GRM: <TURNON> TRJEBAM:TRJEBAM SWĚCU:SWĚCU
GRM: <TURNON> NJEWIDŹU:NJEWIDŹU NIČO:NIČO	

## Turn off
GRM: <TURNOFF> <LAMP> HASŃ:HASŃ SO:SO
GRM: <TURNOFF> HASŃ:HASŃ <LAMPACC>
GRM: <TURNOFF> HASŃ:HASŃ PROŠU:PROŠU <LAMPACC>
GRM: <TURNOFF> <LAMPACC> HASNYĆ:HASNYĆ
GRM: <TURNOFF> <LAMP> CHCU:CHCU SPAĆ:SPAĆ
GRM: <TURNOFF> <LAMP> WONKA:WONKA JE:JE SWĚTŁO:SWĚTŁO DOSĆ:DOSĆ
GRM: <TURNOFF> <LAMPACC> HASŃĆ:HASŃĆ PROŠU:PROŠU
GRM: <TURNOFF> LAMPA:LAMPA HASNYĆ:HASNYĆ
GRM: <TURNOFF> SWĚCU:SWĚCU HASNYĆ:HASNYĆ
GRM: <TURNOFF> BARBU:BARBU HASNYĆ:HASNYĆ

# Intent 2 - set brightness
## dimmer
GRM: <BRIGHTNESS> <LAMP> ZAĆĚMŃ:ZAĆĚMŃ SO:SO
GRM: <BRIGHTNESS> <LAMP> ZAĆĚMNI:ZAĆĚMNI SO:SO
GRM: <BRIGHTNESS> <LAMP> ĆĚMNIŠO:ĆĚMNIŠO PROŠU:PROŠU
GRM: <BRIGHTNESS> <LAMP> ĆĚMNIŠO:ĆĚMNIŠO
GRM: <BRIGHTNESS> <LAMP> MI:MI WOČI:WOČI BOLA:BOLA
GRM: <BRIGHTNESS> <LAMP> MI:MI ŠĆE:ŠĆE PŘECO:PŘECO WOČI:WOČI BOLA:BOLA
GRM: <BRIGHTNESS> <LAMP> ČMOWŠO:ČMOWŠO
GRM: <BRIGHTNESS> <LAMP> KUS:KUS MJENJE:MJENJE
GRM: <BRIGHTNESS> <LAMP> KUSK:KUSK MJENJE:MJENJE
GRM: <BRIGHTNESS> LUBA:LUBA <LAMP> ZAĆĚMŃ:ZAĆĚMŃ SO:SO
GRM: <BRIGHTNESS> LUBA:LUBA <LAMP> ZAĆĚMNI:ZAĆĚMNI SO:SO
GRM: <BRIGHTNESS> LUBA:LUBA <LAMP> ĆĚMNIŠO:ĆĚMNIŠO PROŠU:PROŠU
GRM: <BRIGHTNESS> LUBA:LUBA <LAMP> ĆĚMNIŠO:ĆĚMNIŠO
GRM: <BRIGHTNESS> LUBA:LUBA <LAMP> MI:MI WOČI:WOČI BOLA:BOLA
GRM: <BRIGHTNESS> LUBA:LUBA <LAMP> MI:MI ŠĆE:ŠĆE PŘECO:PŘECO WOČI:WOČI BOLA:BOLA

## brighter
GRM: <BRIGHTNESS> <LAMP> JE:JE PŘE:PŘE ĆMA:ĆMA
GRM: <BRIGHTNESS> <LAMP> SWĚTLIŠO:SWĚTLIŠO PROŠU:PROŠU
GRM: <BRIGHTNESS> <LAMP> ĆIŃ:ĆIŃ SWĚTLIŠO:SWĚTLIŠO
GRM: <BRIGHTNESS> <LAMP> NJEWIDŹU:NJEWIDŹU NIČO:NIČO
GRM: <BRIGHTNESS> <LAMP> NJESPÓZNAJU:NJESPÓZNAJU NIČO:NIČO
GRM: <BRIGHTNESS> <LAMP> SWĚTLIŠO:SWĚTLIŠO

## light/maximum
GRM: <BRIGHTNESS> <LAMP> DAJ:DAJ WŠO:WŠO
GRM: <BRIGHTNESS> <LAMP> NAJSWĚTLIŠO:NAJSWĚTLIŠO
GRM: <BRIGHTNESS> <LAMP> BUDŹ:BUDŹ TAK:TAK SWĚTŁA:SWĚTŁA KAŽ:KAŽ MÓŽNO:MÓŽNO
GRM: <BRIGHTNESS> <LAMP> CYLE:CYLE SWĚTŁO:SWĚTŁO
GRM: <BRIGHTNESS> <LAMP> BUDŹ:BUDŹ CYLE:CYLE SWĚTŁA:SWĚTŁA
GRM: <BRIGHTNESS> <LAMP> BUDŹ:BUDŹ TAK:TAK SWĚTŁA:SWĚTŁA KAŽ:KAŽ SŁÓNCO:SŁÓNCO
GRM: <BRIGHTNESS> <LAMP> SWĚĆ:SWĚĆ KAŽ:KAŽ SŁÓNCO:SŁÓNCO
GRM: <BRIGHTNESS> <LAMP> CHCU:CHCU RADY:RADY ČITAĆ:ČITAĆ

## dark/minimum
GRM: <BRIGHTNESS> <LAMP> SYM:SYM HOTOWY:HOTOWY Z:Z ČITANJOM:ČITANJOM
GRM: <BRIGHTNESS> <LAMP> PŘITULNU:PŘITULNU <LAMPACC> PROŠU:PROŠU
GRM: <BRIGHTNESS> <LAMP> TROŠKU:TROŠKU ROMANTISCE:ROMANTISCE PROŠU:PROŠU
GRM: <BRIGHTNESS> <LAMP> TROŠKU:TROŠKU ROMANTIKI:ROMANTIKI PROŠU:PROŠU
GRM: <BRIGHTNESS> <LAMP> ROMANTIKU:ROMANTIKU PROŠU:PROŠU
GRM: <BRIGHTNESS> <LAMP> PŘITULNU:PŘITULNU <LAMPACC>
GRM: <BRIGHTNESS> <LAMP> TROŠKU:TROŠKU ROMANTISCE:ROMANTISCE
GRM: <BRIGHTNESS> <LAMP> TROŠKU:TROŠKU ROMANTIKI:ROMANTIKI
GRM: <BRIGHTNESS> <LAMP> ROMANTIKU:ROMANTIKU

## discrete in percent
GRM: <BRIGHTNESS> <LAMP> DAJ:DAJ <PERCENT> PROCENTOW:PROCENTOW
GRM: <BRIGHTNESS> <LAMP> <PERCENT> PROCENTOW:PROCENTOW
GRM: <BRIGHTNESS> <LAMP> <PERCENT> PROCENTOW:PROCENTOW PROŠU:PROŠU

GRM: <COLOR> <LAMP> <COLHSBACC> <LIGHTACC> PROŠU:PROŠU
GRM: <COLOR> <LAMP> <COLHSBNOM> PROŠU:PROŠU
GRM: <COLOR> <COLHSBACC> <LIGHTACC> PROŠU:PROŠU
GRM: <COLOR> <LAMP> ČIN:ČIN <COLHSBACC> <LIGHTACC>
GRM: <COLOR> <LAMP> POKAZAJ:POKAZAJ <COLHSBACC> <LIGHTACC>
GRM: <COLOR> <LAMP> POKAŽ:POKAŽ <COLHSBACC> <LIGHTACC>
GRM: <COLOR> <LAMP> ČIMOL:ČIMOL <COLHSBACC> BARBU:BARBU	
GRM: <COLOR> <COLHSBACC> <LIGHTACC>

GRM: <LAMP> 	LAMPA:LAMPA
GRM: <LAMP> 	SWĚCA:SWĚCA
GRM: <LAMPACC> 	LAMPU:LAMPU
GRM: <LAMPACC> 	BARBU:BARBU
GRM: <LAMPACC> 	SWĚCU:SWĚCU
GRM: <LIGHTACC> SWĚCU:SWĚCU
GRM: <LIGHTACC> BARBU:BARBU
GRM: <LIGHTACC> LAMPU:LAMPU

#Color definitions nominativ
GRM: <COLHSBNOM> BĚŁE:BĚŁE    
GRM: <COLHSBNOM> ĆOPŁO:COPŁO BĚŁE:BĚŁE
GRM: <COLHSBNOM> ZYMNO:ZYMNO BĚŁE:BĚŁE
GRM: <COLHSBNOM> CHŁÓDNO:CHŁÓDNO BĚŁE:BĚŁE 
GRM: <COLHSBNOM> ČERWJENE:ČERWJENE 
GRM: <COLHSBNOM> ZELENE:ZELENE
GRM: <COLHSBNOM> MÓDRE:MÓDRE
GRM: <COLHSBNOM> ORANŽOWE:ORANŽOWE
GRM: <COLHSBNOM> ORANŽ:ORANŽ

#Color definition accusative
GRM: <COLHSBACC> BĚŁU:BĚŁU
GRM: <COLHSBACC> ĆOPŁO:ĆOPŁO BĚŁU:BĚŁU
GRM: <COLHSBACC> ĆOPŁU:ĆOPŁU BĚŁU:BĚŁU
GRM: <COLHSBACC> ZYMNO:ZYMNO BĚŁU:BĚŁU
GRM: <COLHSBACC> ZYMNU:ZYMNU BĚŁU:BĚŁU
GRM: <COLHSBACC> CHŁÓDNO:CHŁÓDNO BĚŁU:BĚŁU
GRM: <COLHSBACC> ČERWJENU:ČERWJENU
GRM: <COLHSBACC> ZELENU:ZELENU
GRM: <COLHSBACC> MÓDRU:MÓDRU
GRM: <COLHSBACC> ORANŽOWU:ORANŽOWU
GRM: <COLHSBACC> ORANŽ:ORANŽ

#Brightness in Percent
GRM: <PERCENT>	PJEĆ:005
GRM: <PERCENT>	DŹESAĆ:010
GRM: <PERCENT>	PJATNAĆ:015
GRM: <PERCENT>	PJATNAĆE:015
GRM: <PERCENT>	DWACEĆI:020
GRM: <PERCENT>	DWACĆI:020
GRM: <PERCENT>	DWACCI:020
GRM: <PERCENT>	PJEĆADWACEĆI:025
GRM: <PERCENT>	PJEĆADWACĆI:025
GRM: <PERCENT>	PJEĆADWACCI:025
GRM: <PERCENT>	PJEĆA: DWACEĆI:025
GRM: <PERCENT>	PJEĆA: DWACĆI:025
GRM: <PERCENT>	PJEĆA: DWACCI:025
GRM: <PERCENT>	TŘICEĆI:030
GRM: <PERCENT>	TŘICĆI:030
GRM: <PERCENT>	TŘICCI:030
GRM: <PERCENT>	PJEĆATŘICEĆI:035
GRM: <PERCENT>	PJEĆATŘICĆI:035
GRM: <PERCENT>	PJEĆATŘICCI:035
GRM: <PERCENT>	PJEĆA: TŘICEĆI:035
GRM: <PERCENT>	PJEĆA: TŘICĆI:035
GRM: <PERCENT>	PJEĆA: TŘICCI:035
GRM: <PERCENT>	ŠTYRCEĆI:040
GRM: <PERCENT>	ŠTYRCĆI:040
GRM: <PERCENT>	ŠTYRCCI:040
GRM: <PERCENT>	PJEĆAŠTYRCEĆI:045
GRM: <PERCENT>	PJEĆAŠTYRCĆI:045
GRM: <PERCENT>	PJEĆAŠTYRCCI:045
GRM: <PERCENT>	PJEĆA: ŠTYRCEĆI:045
GRM: <PERCENT>	PJEĆA: ŠTYRCĆI:045
GRM: <PERCENT>	PJEĆA: ŠTYRCCI:045
GRM: <PERCENT>	POŁSTA:050
GRM: <PERCENT>	PJEĆDŹESAT:050
GRM: <PERCENT>	PJEĆDŹESAĆ:050
GRM: <PERCENT>	PJEĆ: DŹESAT:050
GRM: <PERCENT>	PJEĆ: DŹESAĆ:050
GRM: <PERCENT>	PJEĆAPOŁSTA:055
GRM: <PERCENT>	PJEĆAPJEĆDŹESAT:055
GRM: <PERCENT>	PJEĆAPJEĆDŹESAĆ:055
GRM: <PERCENT>	PJEĆA: POŁSTA:055
GRM: <PERCENT>	PJEĆA: PJEĆDŹESAT:055
GRM: <PERCENT>	PJEĆA: PJEĆDŹESAĆ:055
GRM: <PERCENT>	ŠĚSĆDŹESAT:060
GRM: <PERCENT>	ŠĚSĆDŹESAĆ:060
GRM: <PERCENT>	ŠĚSĆ: DŹESAT:060
GRM: <PERCENT>	ŠĚSĆ: DŹESAĆ:060
GRM: <PERCENT>	PJEĆAŠĚSĆDŹESAT:065
GRM: <PERCENT>	PJEĆAŠĚSĆDŹESAĆ:065
GRM: <PERCENT>	PJEĆA: ŠĚSĆDŹESAT:065
GRM: <PERCENT>	PJEĆA: ŠĚSĆDŹESAĆ:065
GRM: <PERCENT>	SYDOMDŹESAT:070
GRM: <PERCENT>	SYDOMDŹESAĆ:070
GRM: <PERCENT>	SYDOM: DŹESAT:070
GRM: <PERCENT>	SYDOM: DŹESAĆ:070
GRM: <PERCENT>	PJEĆASYDOMDŹESAT:075
GRM: <PERCENT>	PJEĆASYDOMDŹESAĆ:075
GRM: <PERCENT>	PJEĆA: SYDOMDŹESAT:075
GRM: <PERCENT>	PJEĆA: SYDOMDŹESAĆ:075
GRM: <PERCENT>	WOSOMDŹESAT:080
GRM: <PERCENT>	WOSOMDŹESAĆ:080
GRM: <PERCENT>	WOSOM: DŹESAT:080
GRM: <PERCENT>	WOSOM: DŹESAĆ:080
GRM: <PERCENT>	PJEĆAWOSOMDŹESAT:085
GRM: <PERCENT>	PJEĆAWOSOMDŹESAĆ:085
GRM: <PERCENT>	PJEĆA: WOSOMDŹESAT:085
GRM: <PERCENT>	PJEĆA: WOSOMDŹESAĆ:085
GRM: <PERCENT>	DŹEWJEĆDŹESAT:090
GRM: <PERCENT>	DŹEWJEĆDŹESAĆ:090
GRM: <PERCENT>	DŹEWJEĆ: DŹESAT:090
GRM: <PERCENT>	DŹEWJEĆ: DŹESAĆ:090
GRM: <PERCENT>	PJEĆADŹEWJEĆDŹESAT:095
GRM: <PERCENT>	PJEĆADŹEWJEĆDŹESAĆ:095
GRM: <PERCENT>	PJEĆA: DŹEWJEĆDŹESAT:095
GRM: <PERCENT>	PJEĆA: DŹEWJEĆDŹESAĆ:095
GRM: <PERCENT>	STO:100

